iteration	posterior	likelihood	prior	rateSig_hp	mu_burned	mu_unburned	sig_burned	sig_unburned	difference	
100	-103.429833748589	-80.2192111772926	-23.2106225712969	0.0184344802750048	-6.91069370739205	1.74260563557766	21.8700243288015	11.8989847686574	-8.65329934296971	
200	-88.0619889938958	-68.5453190317206	-19.5166699621752	0.0466016696658528	3.73829295953693	0.868795186893866	8.14953969975949	5.37711920639854	2.86949777264306	
300	-91.2034546814371	-72.1062338283183	-19.0972208531188	0.0983335399820449	-0.843717433959673	-0.32354649514161	12.7529239224673	6.71243788342603	-0.520170938818064	
400	-80.9463856829348	-64.5794842668937	-16.366901416041	0.157790668813166	1.39773959621744	-1.21812515551425	4.58465309629443	4.88831786630415	2.6158647517317	
500	-73.349233155325	-55.6064642079577	-17.7427689473672	0.0757038620558397	0.265654009785075	1.43014374529742	2.52907450411338	6.89977069462047	-1.16448973551234	
600	-73.5172880296522	-57.4841376279467	-16.0331504017055	0.133284248001034	-0.347579083387236	3.29413318415903	2.53098882301625	4.89899998302598	-3.64171226754626	
700	-72.4947474089326	-56.7585378493455	-15.7362095595871	0.175196294062555	-0.178591389190833	-0.389223605247363	2.41435663627301	5.51204390228297	0.210632216056529	
800	-70.2344010574951	-54.3916657095162	-15.8427353479789	0.202314533520941	0.822698176856656	1.796822830716	1.5366896416085	7.01322507984268	-0.974124653859343	
900	-70.2623653594879	-54.9642672614251	-15.2980980980627	0.205412865135667	0.603639994300474	0.902650285193548	1.21467003870106	6.02854754987417	-0.299010290893074	
1000	-71.8913751863461	-57.0585524973284	-14.8328226890177	0.248229675645085	-0.647527732868175	3.45296285223015	1.29514988459482	5.28696954518512	-4.10049058509832	
1100	-72.57336714033	-57.0565750578124	-15.5167920825176	0.348975665519766	1.04334067415403	-1.05156160084732	2.01767739343054	5.59648559617799	2.09490227500135	
1200	-69.6928243253297	-54.6660767337458	-15.0267475915839	0.410588007751672	-0.00716194881169052	2.18190281294085	1.64500267750134	5.02180567447665	-2.18906476175254	
1300	-72.7342739135491	-57.1891892186097	-15.5450846949394	0.563755140589056	0.863323047309686	-0.428187536394372	1.64541870108207	4.79450401222858	1.29151058370406	
1400	-71.361788744595	-55.9269680805244	-15.4348206640706	0.512081864269651	-0.0324796782624528	1.7422725271041	1.95021110527969	4.65642104358984	-1.77475220536655	
1500	-71.5066216745079	-56.4824834419531	-15.0241382325548	0.338380281791518	-0.507950386014263	4.18492471674256	1.83842451923144	5.10396286373093	-4.69287510275682	
1600	-69.5067299524155	-53.7866410299445	-15.720088922471	0.215101500350085	-0.0163784799915359	3.25918270149998	1.3859680227063	6.94043439455954	-3.27556118149152	
