iteration	posterior	likelihood	prior	mu_burn	mu_unburn	sig_burn	sig_unburn	difference	
100	-87.8536067924465	-65.4385054689876	-22.4151013234589	5.11982759531863	2.27782531563016	3.561336000744	8.48728514637082	2.84200227968847	
200	-86.7870258669098	-60.618036408264	-26.1689894586458	2.96987946681953	4.71973416084247	5.29416144738507	9.9982943640764	-1.74985469402293	
300	-86.1437262997118	-61.1234722746893	-25.0202540250225	4.80414252100788	0.673455250596721	6.53099192009841	7.76881102437369	4.13068727041115	
400	-84.7866506245241	-60.6457687076546	-24.1408819168695	6.05955815945096	0.27322831409229	4.57950550230753	8.96040859503887	5.78632984535867	
500	-87.0049685352432	-61.4265957008227	-25.5783728344205	7.27451357919448	2.53643380865278	5.679002533728	9.10308573080442	4.7380797705417	
600	-84.2895573586533	-58.0029706906257	-26.2865866680276	4.98472444784171	0.158300363311451	5.22107819962849	10.172996490842	4.82642408453026	
700	-86.0715089918012	-62.0481466644546	-24.0233623273465	2.64686822354518	2.37448938036514	4.39500942692694	9.04335286479659	0.272378843180039	
800	-84.6649393379579	-59.3860882319251	-25.2788511060328	2.92273204004117	0.835440989265312	4.90362568135907	9.61963788454636	2.08729105077586	
900	-88.6769572778462	-60.7863305133235	-27.8906267645227	1.60175241135336	3.75836860466925	6.98742908943978	9.792739347203	-2.15661619331589	
1000	-84.5143757883912	-58.9043613898286	-25.6100143985626	5.67437710078708	0.513186032565404	5.12615692784612	9.68327365454502	5.16119106822168	
1100	-87.7623234703112	-62.0121617187859	-25.7501617515254	5.15832982097096	6.3200165719335	4.35679854249184	10.5737370982508	-1.16168675096253	
1200	-86.6646752843222	-61.780259195307	-24.8844160890152	2.46488163875141	1.4196624032612	6.29102238320348	7.89139938482299	1.04521923549021	
1300	-84.7801686230115	-57.6835883835864	-27.0965802394251	4.48104368218877	0.736164817733783	5.41678102134329	10.6772306758187	3.74487886445499	
1400	-86.0753980158717	-58.6323284280113	-27.4430695878604	4.55073273113273	3.51627441201536	5.03479656233986	11.358625804188	1.03445831911737	
1500	-86.3296509077849	-59.3836931674668	-26.9459577403181	4.15826859722189	4.43500235988004	4.93976164661881	11.0240931395649	-0.27673376265815	
1600	-84.8192003438696	-59.6303348625589	-25.1888654813107	3.58936201153598	0.566914779281337	4.27551348862772	10.1699911035805	3.02244723225465	
1700	-86.9819705093389	-57.8690300911367	-29.1129404182022	3.47007882943102	2.76142688779337	6.19789596676429	11.6385062354359	0.708651941637644	
